GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,2142.92,2,1,800,0.0807054,6.75246,6.4623,9.18951,63.6918,0.269685,50000,200000,1e+06,500000,761.292,0.0200909,0,12.4374,5.1072,0.206228,40.4032,694.539,0.328197,0,0
1,0,2,0,1,2142.92,2,1,800,0.1,7.29344,5.9541,10.8577,63.1344,0.269685,50000,200000,1e+06,500000,753.425,0.0203144,0,11.9854,5.22224,0.202948,38.9744,682.235,0.387775,0,0
2,0,2,0,2,2142.92,2,1,800,0.1,7.62131,5.54754,12.1297,62.8098,0.21063,50000,200000,1e+06,500000,759.957,0.0153537,0,11.5708,5.32435,0.197037,37.7827,670.513,0.433203,0,0
3,0,2,0,3,2142.92,2,1,800,0.1,7.81967,5.35082,12.7949,65.1754,0.299213,50000,200000,1e+06,500000,783.377,0.0155515,0,11.4958,5.40551,0.199334,37.354,671.984,0.456961,0,0
4,0,2,0,4,2142.92,2,1,800,0.1,7.81148,4.74754,14.1407,68.6148,0.535433,50000,200000,1e+06,500000,840.997,0.0164609,0,11.1,5.50304,0.205802,35.9276,666.455,0.505023,0.242827,0
5,0,2,0,5,2142.92,2,1,800,0.104619,7.80984,4.04262,15.7189,65.7,0.269685,50000,200000,1e+06,500000,858.166,0.00913699,0,10.5393,5.57393,0.209277,34.2932,650.91,0.561388,0.378812,0
6,0,2,0,6,2142.92,2,1,800,0.1,7.90164,3.63279,16.7054,59.341,0.269685,50000,200000,1e+06,500000,836.657,0.00881936,0,10.3012,5.64517,0.216245,33.4609,644.755,0.596622,0.388223,0
7,0,2,0,7,2142.92,2,1,800,0.117797,8.17705,3.64262,16.9677,51.1279,0.21063,50000,200000,1e+06,500000,798.923,0.00913827,0,10.2758,5.68479,0.209938,33.3453,645.569,0.605989,0.392331,0
8,0,2,0,8,2142.92,2,1,800,0.1,8.74754,3.9541,16.8726,44.6279,0.122047,50000,200000,1e+06,500000,770.559,0.00815897,0,10.6234,5.69979,0.21049,34.1326,658.861,0.602594,0.388658,0
9,0,2,0,9,2142.92,2,1,800,0.1,8.33115,3.67213,16.9836,48.3787,0.181102,50000,200000,1e+06,500000,815.441,0.00631912,0,10.4411,5.84274,0.20505,33.3908,655.743,0.606557,0.390474,0
