GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,8.24093e+10
0,1,2.38868e+11
1,0,1.00907e+11
1,1,3.03353e+11
2,0,1.06754e+11
2,1,3.56403e+11
3,0,1.00617e+11
3,1,3.16373e+11
4,0,1.04086e+11
4,1,3.37321e+11
5,0,1.00618e+11
5,1,2.74212e+11
6,0,9.92811e+10
6,1,2.73445e+11
7,0,1.03344e+11
7,1,3.03894e+11
8,0,1.05909e+11
8,1,3.05258e+11
9,0,1.10196e+11
9,1,4.06192e+11
10,0,1.0455e+11
10,1,2.78799e+11
11,0,1.13877e+11
11,1,3.52135e+11
12,0,1.09631e+11
12,1,3.3507e+11
13,0,1.1575e+11
13,1,4.74938e+11
14,0,9.94631e+10
14,1,2.893e+11
15,0,8.62015e+10
15,1,2.55704e+11
16,0,6.00141e+10
16,1,2.40628e+11
17,0,9.76346e+10
17,1,2.76879e+11
18,0,9.59911e+10
18,1,2.86844e+11
19,0,9.56948e+10
19,1,2.69744e+11
20,0,9.99039e+10
20,1,3.0576e+11
21,0,1.03002e+11
21,1,3.34561e+11
22,0,9.54821e+10
22,1,2.69825e+11
23,0,1.00139e+11
23,1,3.10295e+11
24,0,1.0082e+11
24,1,2.72833e+11
25,0,1.07102e+11
25,1,3.21814e+11
26,0,1.07716e+11
26,1,3.19419e+11
27,0,1.11013e+11
27,1,3.334e+11
28,0,3.12494e+10
28,1,1.76372e+11
29,0,2.62691e+10
29,1,1.62955e+11
30,0,9.41069e+10
30,1,2.94107e+11
31,0,9.80068e+10
31,1,2.91651e+11
32,0,9.36596e+10
32,1,2.7036e+11
33,0,9.58432e+10
33,1,3.0382e+11
34,0,9.44611e+10
34,1,2.95628e+11
35,0,1.01115e+11
35,1,2.91379e+11
36,0,9.96542e+10
36,1,3.1891e+11
37,0,1.0163e+11
37,1,3.18038e+11
38,0,1.01404e+11
38,1,2.74115e+11
39,0,1.03471e+11
39,1,2.98958e+11
40,0,1.06739e+11
40,1,3.02929e+11
41,0,1.15121e+11
41,1,3.48499e+11
42,0,5.47212e+09
42,1,3.98706e+10
43,0,9.92043e+10
43,1,3.52573e+11
44,0,9.87208e+10
44,1,3.26463e+11
45,0,8.65498e+10
45,1,2.49527e+11
46,0,7.48027e+10
46,1,2.62006e+11
47,0,9.22076e+10
47,1,2.86801e+11
48,0,9.55802e+10
48,1,3.10182e+11
49,0,8.77738e+10
49,1,2.20684e+11
50,0,9.54769e+10
50,1,2.92105e+11
51,0,1.01735e+11
51,1,3.39065e+11
52,0,1.04625e+11
52,1,3.21402e+11
53,0,1.02269e+11
53,1,3.13136e+11
54,0,1.14081e+11
54,1,3.89834e+11
55,0,1.04204e+11
55,1,2.80141e+11
56,0,9.45719e+10
56,1,2.92807e+11
57,0,1.02111e+11
57,1,3.40793e+11
58,0,1.0049e+11
58,1,3.18459e+11
59,0,9.74298e+10
59,1,2.96619e+11
60,0,9.12052e+09
60,1,6.75354e+10
61,0,4.39843e+10
61,1,1.79375e+11
62,0,4.89083e+10
62,1,2.2668e+11
63,0,9.22272e+10
63,1,2.74799e+11
64,0,2.24682e+10
64,1,1.17398e+11
65,0,9.40081e+10
65,1,2.82132e+11
66,0,9.67633e+10
66,1,2.93672e+11
67,0,1.08134e+11
67,1,3.65851e+11
68,0,1.05038e+11
68,1,3.09651e+11
69,0,1.11164e+11
69,1,4.28578e+11
70,0,9.23758e+10
70,1,2.40562e+11
71,0,1.01645e+11
71,1,3.31548e+11
72,0,9.70532e+10
72,1,2.88983e+11
73,0,1.0138e+11
73,1,3.19794e+11
74,0,9.02307e+10
74,1,2.50051e+11
75,0,8.23212e-47
75,1,0.0534106
76,0,2.03653e+10
76,1,1.34556e+11
77,0,9.42089e+10
77,1,3.36887e+11
78,0,8.00079e+10
78,1,2.40317e+11
79,0,8.82669e+10
79,1,2.65755e+11
80,0,8.78675e+10
80,1,3.01617e+11
81,0,1.03233e+11
81,1,2.98937e+11
82,0,1.04625e+11
82,1,2.9545e+11
83,0,9.75775e+10
83,1,2.5763e+11
