GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,2142.92,2,1,800,0.0807054,6.72951,8.82459,4.68197,90.2148,0.32874,50000,200000,1e+06,500000,761.292,0.0244904,0,12.4374,5.1072,0.0938363,44.2193,694.539,0.156066,0,0
1,0,2,0,1,2142.92,2,1,800,0.108598,6.99836,8.09836,6.30049,83.9852,0.417323,50000,200000,1e+06,500000,753.425,0.0314353,0,11.9854,5.22224,0.0993051,42.7762,682.235,0.210016,0,0
2,0,2,0,2,2142.92,2,1,800,0.121727,7.26393,7.45902,7.93361,80.3623,0.387795,50000,200000,1e+06,500000,759.957,0.028268,0,11.5708,5.32435,0.104192,41.658,670.513,0.264454,0,0
3,0,2,0,3,2142.92,2,1,800,0.267455,7.25574,7.27869,8.32754,79.2311,0.564961,50000,200000,1e+06,500000,783.377,0.0293636,0,11.4958,5.40551,0.104832,41.7312,671.984,0.277585,0,0
4,0,2,0,4,2142.92,2,1,800,0.331106,7.28361,6.89836,9.2282,80.5082,0.860236,50000,200000,1e+06,500000,840.997,0.0264464,0,11.1,5.50304,0.100481,42.3017,666.455,0.307607,0.242827,0
5,0,2,0,5,2142.92,2,1,800,0.404619,7.20984,6.3459,10.4295,78.3771,0.801181,50000,200000,1e+06,500000,858.166,0.0271442,0,10.5393,5.57393,0.0971155,41.7467,650.91,0.34765,0.378812,0
6,0,2,0,6,2142.92,2,1,800,0.373668,7.43279,6.11148,11.2662,72.8607,0.771653,50000,200000,1e+06,500000,836.657,0.025235,0,10.3012,5.64517,0.0946499,41.2072,644.755,0.375541,0.388223,0
7,0,2,0,7,2142.92,2,1,800,0.417797,7.61967,6.16885,11.3572,64.9705,0.535433,50000,200000,1e+06,500000,798.923,0.02323,0,10.2758,5.68479,0.0904447,41.2025,645.569,0.378574,0.392331,0
8,0,2,0,8,2142.92,2,1,800,0.313606,8.09672,6.48689,11.1538,61.9525,0.269685,50000,200000,1e+06,500000,770.559,0.0180287,0,10.6234,5.69979,0.0904843,41.8346,658.861,0.371792,0.388658,0
9,0,2,0,9,2142.92,2,1,800,0.377087,7.59344,6.20164,11.2461,67.7934,0.564961,50000,200000,1e+06,500000,815.441,0.0197129,0,10.4411,5.84274,0.088242,41.3375,655.743,0.374869,0.390474,0
10,0,2,0,10,2142.92,2,1,800,0.417873,6.69344,5.7,11.3652,76.2361,0.712598,50000,200000,1e+06,500000,867.32,0.0204763,0,10.2652,6.07166,0.0902494,40.1156,653.169,0.378842,0.388658,0
11,0,2,0,11,2142.92,2,1,800,0.274061,6.07541,5.88852,10.1692,81.8328,0.21063,50000,200000,1e+06,500000,874.107,0.0159725,0,10.7149,6.25887,0.0911047,40.6664,672.481,0.338973,0.372596,0
12,0,2,0,12,2142.92,2,1,800,0.293545,6.15246,6.18525,9.56738,82.0918,0.535433,50000,200000,1e+06,500000,866.697,0.0198049,0,10.9817,6.30738,0.0875576,41.3553,682.128,0.318913,0.366225,0
13,0,2,0,13,2142.92,2,1,700,0.375043,5.62131,3.97049,14.3318,98.7361,0.505906,50000,200000,1e+06,500000,1086.35,0.0197025,0,8.4235,6.17405,0.083478,35.3441,583.321,0.477727,0.472165,0
14,0,2,1,0,2123.55,2,1,800,0.1,6.65574,7.99016,6.17213,85.2016,0.417323,50000,200000,1e+06,500000,764.73,0.0281765,0,11.6469,5.10546,0.0958884,42.8885,668.317,0.205738,0,0
15,0,2,1,1,2123.55,2,1,800,0.0874116,6.9082,7.70492,7.02984,79.0918,0.417323,50000,200000,1e+06,500000,727.202,0.0313656,0,11.5788,5.21045,0.099869,41.5785,664.53,0.234328,0,0
16,0,2,1,2,2123.55,2,1,800,0.0548821,7.08033,7.33934,7.99967,74.382,0.21063,50000,200000,1e+06,500000,701.492,0.017896,0,11.419,5.30824,0.103348,40.3838,658.2,0.266656,0,0
17,0,2,1,3,2123.55,2,1,800,0.148203,7.07049,7.45246,7.74098,70.0164,0.32874,50000,200000,1e+06,500000,699.339,0.0233599,0,11.6552,5.41998,0.103321,40.5227,668.537,0.258033,0,0
18,0,2,1,4,2123.55,2,1,800,0.175163,6.98852,7.38033,7.80754,68.0672,0.417323,50000,200000,1e+06,500000,714.864,0.0239305,0,11.5516,5.48897,0.0994966,40.7427,669.357,0.260251,0,0
19,0,2,1,5,2123.55,2,1,800,0.1,7.01639,7.10656,8.44967,67.9967,0.299213,50000,200000,1e+06,500000,741.369,0.0225386,0,11.3175,5.56527,0.0977758,41.1543,668.999,0.281656,0.237709,0
20,0,2,1,6,2123.55,2,1,800,0.161169,7.01803,7.04754,8.58049,64.6311,0.32874,50000,200000,1e+06,500000,736.523,0.0218901,0,11.2955,5.64981,0.0956956,41.2822,672.598,0.286016,0.242372,0
21,0,2,1,7,2123.55,2,1,800,0.234373,7.21475,6.89508,9.15885,61.9443,0.32874,50000,200000,1e+06,500000,733.841,0.0224643,0,11.1045,5.69824,0.0926314,41.3167,669.108,0.305295,0.300362,0
22,0,2,1,8,2123.55,2,1,800,0.348488,7.5082,6.89344,9.49951,58.4082,0.564961,50000,200000,1e+06,500000,723.598,0.02594,0,11.1601,5.7481,0.092137,41.2178,672.092,0.31665,0.368393,0
23,0,2,1,9,2123.55,2,1,800,0.378554,7.20984,6.4918,10.101,62.4852,0.594488,50000,200000,1e+06,500000,756.367,0.0219892,0,10.8679,5.87207,0.0913207,40.9761,666.139,0.336699,0.375101,0
