GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,2142.92,2,1,800,0.0807054,8.79508,11.023,2.60492,54.618,1.5689,50000,200000,1e+06,500000,761.292,0.116879,1,12.4374,5.1072,0.0450947,54.8935,694.539,0.0868306,0,0
1,0,2,0,1,2142.92,2,1,800,0.108598,9.49836,10.6361,3.73754,54.5361,1.53937,50000,200000,1e+06,500000,753.425,0.115955,1,11.9854,5.22224,0.0426188,53.531,682.235,0.124585,0,0
2,0,2,0,2,2142.92,2,1,800,0.121727,10.0016,10.259,4.84607,57.923,1.50984,50000,200000,1e+06,500000,759.957,0.110059,1,11.5708,5.32435,0.0409724,52.0995,670.513,0.161536,0,0
3,0,2,0,3,2142.92,2,1,800,0.267455,10.118,10.182,5.10607,61.6492,2.10039,50000,200000,1e+06,500000,783.377,0.109167,1,11.4958,5.40551,0.0398292,51.9448,671.984,0.170202,0,0
4,0,2,0,4,2142.92,2,1,800,0.331106,10.341,9.80164,6.10066,68.3934,3.57677,50000,200000,1e+06,500000,840.997,0.109961,1,11.1,5.50304,0.0381763,50.6079,666.455,0.203355,0.242827,0
5,0,2,0,5,2142.92,2,1,800,0.404619,10.177,9.21148,7.17164,69.7918,2.77953,50000,200000,1e+06,500000,858.166,0.094171,1,10.5393,5.57393,0.0373641,48.7698,650.91,0.239055,0.378812,0
6,0,2,0,6,2142.92,2,1,800,0.373668,10.2902,8.91148,7.94361,68.1721,3.04528,50000,200000,1e+06,500000,836.657,0.099588,1,10.3012,5.64517,0.0372202,47.9229,644.755,0.264787,0.388223,0
7,0,2,0,7,2142.92,2,1,800,0.417797,10.5787,8.81803,8.47623,65.3197,2.12992,50000,200000,1e+06,500000,798.923,0.0924075,1,10.2758,5.68479,0.0374003,47.7151,645.569,0.282541,0.392331,0
8,0,2,0,8,2142.92,2,1,800,0.313606,11.0656,9.22459,8.09934,64.4311,1.50984,50000,200000,1e+06,500000,770.559,0.100934,1,10.6234,5.69979,0.0363287,49.0371,658.861,0.269978,0.388658,0
9,0,2,0,9,2142.92,2,1,800,0.377087,10.659,9.11639,7.8959,68.2377,2.92717,50000,200000,1e+06,500000,815.441,0.102136,1,10.4411,5.84274,0.0333981,48.7044,655.743,0.263197,0.390474,0
