GridcellIndex,FunctionalGroupIndex,TotalBiomass
0,0,8.76799e+10
0,1,2.97006e+11
1,0,1.0134e+11
1,1,3.17748e+11
2,0,1.04462e+11
2,1,3.49617e+11
3,0,1.0301e+11
3,1,3.56987e+11
4,0,1.09868e+11
4,1,4.62382e+11
5,0,1.06786e+11
5,1,2.9973e+11
6,0,1.09305e+11
6,1,3.77697e+11
7,0,1.1706e+11
7,1,3.18357e+11
8,0,1.1283e+11
8,1,3.92292e+11
9,0,1.03525e+11
9,1,3.09426e+11
10,0,1.26728e+11
10,1,3.58232e+11
11,0,1.15882e+11
11,1,3.78295e+11
12,0,1.12988e+11
12,1,3.64145e+11
13,0,1.12746e+11
13,1,3.95988e+11
14,0,9.77252e+10
14,1,2.68475e+11
15,0,8.94337e+10
15,1,2.97158e+11
16,0,6.23344e+10
16,1,3.13628e+11
17,0,1.01463e+11
17,1,3.29905e+11
18,0,9.682e+10
18,1,2.93767e+11
19,0,1.00527e+11
19,1,3.08236e+11
20,0,9.85533e+10
20,1,3.02943e+11
21,0,1.02547e+11
21,1,3.39072e+11
22,0,9.78325e+10
22,1,2.90866e+11
23,0,9.12897e+10
23,1,2.32201e+11
24,0,1.18804e+11
24,1,3.3322e+11
25,0,1.0278e+11
25,1,2.73069e+11
26,0,1.0477e+11
26,1,2.96154e+11
27,0,1.05588e+11
27,1,2.87914e+11
28,0,3.12606e+10
28,1,1.58664e+11
29,0,2.62916e+10
29,1,1.63412e+11
30,0,9.19172e+10
30,1,2.73308e+11
31,0,9.87599e+10
31,1,3.12548e+11
32,0,1.00742e+11
32,1,4.20096e+11
33,0,9.74004e+10
33,1,3.10206e+11
34,0,9.98463e+10
34,1,4.01328e+11
35,0,1.04047e+11
35,1,3.46203e+11
36,0,1.01024e+11
36,1,3.28986e+11
37,0,9.41048e+10
37,1,2.39496e+11
38,0,1.03969e+11
38,1,3.04343e+11
39,0,1.04105e+11
39,1,3.17065e+11
40,0,1.11557e+11
40,1,3.42147e+11
41,0,1.14717e+11
41,1,3.57185e+11
42,0,5.48393e+09
42,1,4.02725e+10
43,0,9.98824e+10
43,1,3.97265e+11
44,0,9.69734e+10
44,1,3.01269e+11
45,0,9.08635e+10
45,1,3.03008e+11
46,0,7.64367e+10
46,1,2.71034e+11
47,0,9.18302e+10
47,1,2.80339e+11
48,0,9.00787e+10
48,1,2.50028e+11
49,0,1.00168e+11
49,1,3.42332e+11
50,0,9.56734e+10
50,1,2.96418e+11
51,0,9.86593e+10
51,1,2.85327e+11
52,0,1.05526e+11
52,1,3.22537e+11
53,0,1.05361e+11
53,1,3.56831e+11
54,0,1.12273e+11
54,1,3.76898e+11
55,0,1.08369e+11
55,1,3.09257e+11
56,0,9.84841e+10
56,1,3.2929e+11
57,0,9.13204e+10
57,1,2.28665e+11
58,0,9.91707e+10
58,1,3.09177e+11
59,0,1.01051e+11
59,1,3.2067e+11
60,0,9.11174e+09
60,1,6.7829e+10
61,0,4.46283e+10
61,1,2.17241e+11
62,0,4.93602e+10
62,1,2.80111e+11
63,0,9.4071e+10
63,1,3.03956e+11
64,0,2.25476e+10
64,1,1.29685e+11
65,0,9.57804e+10
65,1,3.2129e+11
66,0,1.00196e+11
66,1,3.23218e+11
67,0,1.03029e+11
67,1,3.0069e+11
68,0,9.74469e+10
68,1,2.47852e+11
69,0,1.07321e+11
69,1,3.35449e+11
70,0,1.01197e+11
70,1,3.18816e+11
71,0,1.00403e+11
71,1,3.22881e+11
72,0,9.88025e+10
72,1,3.14787e+11
73,0,9.7551e+10
73,1,2.73436e+11
74,0,9.10485e+10
74,1,2.5797e+11
75,0,2.16258e-35
75,1,15.6247
76,0,2.04672e+10
76,1,1.45686e+11
77,0,9.55543e+10
77,1,3.91422e+11
78,0,8.34259e+10
78,1,2.70521e+11
79,0,8.62124e+10
79,1,2.51695e+11
80,0,9.12754e+10
80,1,3.57999e+11
81,0,9.67292e+10
81,1,2.55852e+11
82,0,1.04516e+11
82,1,2.93245e+11
83,0,1.03303e+11
83,1,3.37156e+11
