GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
0,0,2,0,0,2142.92,2,1,800,0.0807054,5.63115,6.11475,9.49361,84.6475,0.0925197,50000,200000,1e+06,500000,761.292,0.00689251,0,12.4374,5.1072,0.231558,38.61,694.539,0.306245,0,0
1,0,2,0,1,2142.92,2,1,800,0.1,5.91311,5.53443,11.2379,80.1229,0.122047,50000,200000,1e+06,500000,753.425,0.00919335,0,11.9854,5.22224,0.23342,37.1882,682.235,0.362512,0,0
2,0,2,0,2,2142.92,2,1,800,0.1,6.10164,4.96885,12.8667,77.9672,0.0925197,50000,200000,1e+06,500000,759.957,0.00674415,0,11.5708,5.32435,0.238957,36.11,670.513,0.415056,0,0
3,0,2,0,3,2142.92,2,1,800,0.1,6.2082,4.80984,13.3938,79.1115,0.151575,50000,200000,1e+06,500000,783.377,0.00787804,0,11.4958,5.40551,0.238725,36.0268,671.984,0.432057,0,0
4,0,2,0,4,2142.92,2,1,800,0.1,6.21311,4.35082,14.5682,83.2836,0.240157,50000,200000,1e+06,500000,840.997,0.0073832,0,11.1,5.50304,0.234899,35.4769,666.455,0.469942,0.242827,0
5,0,2,0,5,2142.92,2,1,800,0.1,6.32951,3.67869,16.3934,79.4607,0.181102,50000,200000,1e+06,500000,858.166,0.00613579,0,10.5393,5.57393,0.236269,33.9265,650.91,0.528821,0.378812,0
6,0,2,0,6,2142.92,2,1,800,0.1,6.44918,3.39508,17.2439,71.4672,0.122047,50000,200000,1e+06,500000,836.657,0.00399124,0,10.3012,5.64517,0.234077,33.2805,644.755,0.556256,0.388223,0
7,0,2,0,7,2142.92,2,1,800,0.1,6.76557,3.21311,18.0834,60.7279,0.0925197,50000,200000,1e+06,500000,798.923,0.00401401,0,10.2758,5.68479,0.242253,33.0648,645.569,0.583337,0.392331,0
8,0,2,0,8,2142.92,2,1,800,0.1,7.18525,3.52951,17.8162,53.3066,0.0334646,50000,200000,1e+06,500000,770.559,0.00223714,0,10.6234,5.69979,0.242492,33.7916,658.861,0.574717,0.388658,0
9,0,2,0,9,2142.92,2,1,800,0.1,6.71311,3.14918,18.1356,57.9918,0.122047,50000,200000,1e+06,500000,815.441,0.00425853,0,10.4411,5.84274,0.244098,32.9029,655.743,0.585019,0.390474,0
10,0,2,0,10,2142.92,2,1,800,0.1,5.92951,2.66557,18.3521,64.5705,0.0629921,50000,200000,1e+06,500000,867.32,0.00181006,0,10.2652,6.07166,0.248155,31.7731,653.169,0.592004,0.388658,0
11,0,2,0,11,2142.92,2,1,800,0.1,5.22951,2.75246,17.3067,69.4148,0.00393701,50000,200000,1e+06,500000,874.107,0.000298552,0,10.7149,6.25887,0.259139,32.0772,672.481,0.558281,0.372596,0
12,0,2,0,12,2142.92,2,1,800,0.1,5.11639,2.93115,16.7489,70.7082,0.0334646,50000,200000,1e+06,500000,866.697,0.0012378,0,10.9817,6.30738,0.259044,32.5273,682.128,0.540286,0.366225,0
